City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,doka,13.5167,35.7667,75.15,90,95,4.18,SD,1662758137
193,sorong,-0.8833,131.25,78.91,81,88,4.54,ID,1662758137
194,grimmen,54.1121,13.0405,62.02,86,86,6.49,DE,1662758138
195,nouadhibou,20.931,-17.0347,73.38,83,21,12.66,MR,1662758138
196,iquitos,-3.7481,-73.2472,75.24,88,75,3.44,PE,1662758139
197,mogadishu,2.0371,45.3438,75.74,85,95,18.59,SO,1662758139
198,kudahuvadhoo,2.6708,72.8944,81.81,76,100,13.6,MV,1662758140
199,bulolo,-7.2,146.65,69.73,91,59,1.72,PG,1662758141
200,kahului,20.8947,-156.47,84.97,77,75,14.97,US,1662758141
201,saldanha,-33.0117,17.9442,57.02,92,2,13.51,ZA,1662758142
202,nortelandia,-14.4547,-56.8028,95.79,22,74,2.75,BR,1662758142
203,salisbury,51.0693,-1.7957,61.81,89,40,6.91,GB,1662758061
204,dingle,10.9995,122.6711,74.89,92,100,3.24,PH,1662758143
205,siquirres,10.0975,-83.5066,82.33,87,100,1.36,CR,1662758144
206,madras,13.0878,80.2785,84.18,89,75,4.61,IN,1662757864
207,dali,25.7,100.1833,60.66,89,99,1.61,CN,1662758144
208,orkney,-26.9802,26.6727,65.64,23,0,4.03,ZA,1662758145
209,koumac,-20.5667,164.2833,74.17,78,0,4.16,NC,1662758145
210,beloha,-25.1667,45.05,65.03,79,0,7.7,MG,1662758146
211,berlevag,70.8578,29.0864,48.2,87,40,17.27,NO,1662758146
212,nesna,66.1967,13.0213,50.41,83,43,7.31,NO,1662758146
213,marzuq,14.4,46.4667,80.1,50,100,3.51,YE,1662758147
214,broome,42.2506,-75.833,82.71,54,0,4.61,US,1662758148
215,rawson,-43.3002,-65.1023,56.93,36,0,7.45,AR,1662758148
216,clyde river,70.4692,-68.5914,37.63,100,100,8.05,CA,1662758053
217,honiara,-9.4333,159.95,79.41,82,23,6.51,SB,1662758149
218,naze,28.3667,129.4833,74.32,79,100,3.38,JP,1662758149
219,mecca,21.4267,39.8261,90.86,31,2,2.77,SA,1662758095
220,polunochnoye,60.8697,60.4153,36.61,78,99,3.2,RU,1662758150
221,yaring,6.8662,101.3689,77.72,87,100,4.18,TH,1662758150
222,peniche,39.3558,-9.3811,69.12,90,50,8.16,PT,1662758151
223,reyes,-14.3167,-67.3833,100.71,21,5,5.86,BO,1662758151
224,yining,29.0361,114.5636,68.23,85,74,1.34,CN,1662758151
225,kommunar,59.6206,30.39,45.52,77,7,4.9,RU,1662758152
226,taoudenni,22.6783,-3.9836,101.7,10,69,10.2,ML,1662758152
227,iqaluit,63.7506,-68.5145,44.33,93,100,19.57,CA,1662758153
228,upernavik,72.7868,-56.1549,41.05,96,100,11.27,GL,1662758153
229,kununurra,-15.7667,128.7333,69.78,88,79,3.44,AU,1662758154
230,longyearbyen,78.2186,15.6401,40.84,93,100,4.61,SJ,1662758154
231,comodoro rivadavia,-45.8667,-67.5,62.46,34,0,11.5,AR,1662757950
232,hamilton,39.1834,-84.5333,86.76,59,40,8.05,US,1662758130
233,askarovo,53.3372,58.5089,41.95,86,75,6.71,RU,1662758155
234,cedar city,37.6775,-113.0619,86.4,16,0,10.04,US,1662758156
235,tura,25.5198,90.2201,74.97,89,73,2.75,IN,1662758156
236,palmer,42.1584,-72.3287,80.51,54,20,0.0,US,1662758091
237,ler,8.3018,30.1418,70.59,88,78,2.01,SS,1662758157
238,luena,-11.7833,19.9167,66.2,27,34,5.26,AO,1662758157
239,bilma,18.6853,12.9164,95.56,19,52,5.01,NE,1662758158
240,avera,33.194,-82.5271,78.85,88,100,10.13,US,1662758158
241,cayenne,4.9333,-52.3333,84.24,70,0,10.36,GF,1662758159
242,clarksdale,34.2001,-90.5709,84.9,89,20,5.75,US,1662758097
243,bethel,41.3712,-73.414,81.66,49,0,0.0,US,1662758159
244,kuusamo,65.9667,29.1833,46.44,81,100,5.75,FI,1662758160
245,dryden,49.7833,-92.7503,66.49,45,0,13.8,CA,1662758054
246,shuangyang,43.5242,125.6736,62.17,90,69,3.42,CN,1662758160
247,saint anthony,45.0205,-93.218,61.21,90,100,13.8,US,1662758129
248,puro,12.4841,123.3827,78.76,84,100,3.87,PH,1662758161
249,safonovo,55.15,33.2167,39.56,70,0,5.26,RU,1662758161
250,salalah,17.0151,54.0924,77.09,94,40,3.44,OM,1662758093
251,tamandare,-8.7597,-35.1047,75.02,79,48,6.91,BR,1662758162
252,ejura,7.3856,-1.3562,73.11,89,100,3.04,GH,1662758163
253,kamaishi,39.2667,141.8833,66.61,65,57,7.65,JP,1662758163
254,tasiilaq,65.6145,-37.6368,46.56,66,69,4.07,GL,1662758163
255,puerto escondido,15.85,-97.0667,83.23,61,100,5.75,MX,1662758164
256,bilibino,68.0546,166.4372,48.22,69,89,3.29,RU,1662758164
257,waitati,-45.75,170.5667,44.8,81,13,3.02,NZ,1662758165
258,tirumullaivasal,11.2333,79.8333,80.42,84,100,12.01,IN,1662758165
259,cajamarca,-7.1638,-78.5003,71.67,26,75,5.75,PE,1662758166
260,ilulissat,69.2167,-51.1,42.82,81,75,3.44,GL,1662758166
